,emp_title,annual_income,homeownership
1625,hr coordinator,54024.0,MORTGAGE
1626,marketing strategist,155000.0,MORTGAGE
1627,secretary,56000.0,OWN
1628,denatl hygienist,64000.0,MORTGAGE
1629,branch service manager,93000.0,MORTGAGE
1630,registered nurse,35000.0,RENT
1631,engineer,99000.0,OWN
1632,correctional officer,50000.0,RENT
1634,foreman,48000.0,RENT
1635,store manager,36000.0,MORTGAGE
1636,finance director,67000.0,MORTGAGE
1637,engineer,157000.0,MORTGAGE
1638,electrician,72000.0,RENT
1639,designer,48000.0,MORTGAGE
1641,manager,145262.0,MORTGAGE
1642,server,25000.0,RENT
1643,process laboratory technician,58000.0,MORTGAGE
1644,educator,98000.0,MORTGAGE
1645,director of account management ,90000.0,MORTGAGE
1646,foreman,75000.0,OWN
1647,bartender,26000.0,RENT
1648,president,100000.0,RENT
1649,clerk,65000.0,OWN
1650,executive assistant,72000.0,RENT
1651,helicopter mechanic,75000.0,RENT
1652,bh care planner,50000.0,RENT
1654,material handler ,50000.0,MORTGAGE
1655,vp of operations,135000.0,MORTGAGE
1656,equipment coordinator,86000.0,MORTGAGE
1657,mechanical integration leaded,110000.0,MORTGAGE
1658,general manager,65000.0,RENT
1659,registered nurse,72000.0,MORTGAGE
1660,operations supervisor ,84676.0,MORTGAGE
1661,chief operating officer,180000.0,RENT
1662,senior server engineer,65000.0,MORTGAGE
1663,assistant director,55000.0,MORTGAGE
1665,radiology,36000.0,MORTGAGE
1666,area distributor manager,150000.0,MORTGAGE
1667,district supervisor,67000.0,MORTGAGE
1669,software engineer,64000.0,RENT
1670,rn,80000.0,MORTGAGE
1671,human resources manager,60000.0,RENT
1672,police officer,120000.0,MORTGAGE
1673,registered nurse,59000.0,RENT
1674,medical receptionist,45000.0,RENT
1675,cashier supervisor,41000.0,RENT
1677,corrections officer,42000.0,MORTGAGE
1678,background investigator,54902.0,MORTGAGE
1679,print operator,40000.0,RENT
1680,project manager,132000.0,RENT
1681,smt,42000.0,OWN
1682,deputy of public works,65000.0,RENT
1683,funeral director,140000.0,MORTGAGE
1684,assistant professor,135000.0,OWN
1686,manager,90000.0,RENT
1687,customer service,120000.0,MORTGAGE
1688,clinic manager ,60000.0,RENT
1689,operations processing specialist ,30000.0,MORTGAGE
1690,contracting officer,38411.0,RENT
1691,highway foreman,53527.6,RENT
1692,brand manager,70000.0,RENT
1693,store manager,46000.0,MORTGAGE
1694,ultrasound tech,53000.0,MORTGAGE
1696,truck driver,60000.0,RENT
1697,registered nurse,65000.0,MORTGAGE
1698,shop forman,110000.0,MORTGAGE
1699,rotary operator,40000.0,MORTGAGE
1700,analyst,105000.0,RENT
1701,cdl a driver warehouse tech,43500.0,RENT
1702,building manager,96000.0,RENT
1703,network engineer,92000.0,MORTGAGE
1704,medical laboratory technologist,60000.0,RENT
1705,accounting assistant,40000.0,RENT
1706,account manager,58000.0,MORTGAGE
1707,manager,37840.0,OWN
1708,admissions counselor,54000.0,RENT
1709,dsr,128000.0,MORTGAGE
1710,"sr, mgr, global network services",150000.0,MORTGAGE
1711,driver,110000.0,MORTGAGE
1713,lvn care coordinator,90000.0,RENT
1714,sales manager,120000.0,MORTGAGE
1715,assistant general  manager ,85000.0,RENT
1716,"svp, americas",280000.0,MORTGAGE
1717,electrician,65000.0,MORTGAGE
1719,parole agent iii,161000.0,MORTGAGE
1720,president,200000.0,OWN
1721,it specialist,116365.0,RENT
1722,quality control manager,62823.0,OWN
1723,fixed assets analyst,60000.0,OWN
1724,supervisor,52000.0,MORTGAGE
1725,machine operator,45000.0,MORTGAGE
1726,consultant,165000.0,RENT
1727,facilities operations manager,94500.0,RENT
1728,cook,18800.0,RENT
1729,help desk manager,48000.0,RENT
1730,administration,29000.0,OWN
1731,massage therapoist,60000.0,MORTGAGE
1732, district manager,89000.0,MORTGAGE
1733,program manager,127000.0,MORTGAGE
1734,cashier/salesperson,29000.0,MORTGAGE
1735,sales director international ,145000.0,OWN
1736,assistant principal,86000.0,MORTGAGE
1737,financial director,100000.0,OWN
1738,sales,45000.0,MORTGAGE
1739,administrstor,75000.0,MORTGAGE
1740,senior analyst,80000.0,MORTGAGE
1741,medical laboratory scientist,56000.0,OWN
1742,network infrastructure engineer,150000.0,RENT
1743,actuary,145000.0,MORTGAGE
1744,director technology,250000.0,RENT
1745,area sales director,50000.0,OWN
1746,administrative assistant,50000.0,MORTGAGE
1747,office manager,34700.0,MORTGAGE
1748,pastor,70000.0,RENT
1749,supervisor,80000.0,MORTGAGE
1750,water inspector,130000.0,MORTGAGE
1751,president,135000.0,MORTGAGE
1752,senior lender specialist ii,43000.0,RENT
1753,service manager,95000.0,OWN
1755,director of operations,109000.0,MORTGAGE
1756,vice president ocean services,250000.0,MORTGAGE
1757,accounting clerk iv,76012.0,RENT
1758,owner/director,85000.0,MORTGAGE
1759,mechanical engineer,73000.0,MORTGAGE
1760,operating engineer,80000.0,MORTGAGE
1761,dir strategic accounts,185000.0,MORTGAGE
1762,rca professional,80000.0,RENT
1763,assistant director,97000.0,RENT
1764,surgeon ,60000.0,RENT
1765,manager,65000.0,MORTGAGE
1766,lab manager/ dental assistant,38000.0,RENT
1767,sergeant first class,78648.0,MORTGAGE
1768,family assistance analyst ii,38043.0,RENT
1769,admin aid,44000.0,MORTGAGE
1771,manager,95000.0,MORTGAGE
1772,project manager,96000.0,MORTGAGE
1773,assistant principal ,120000.0,RENT
1774,oral maxillofacial surgeon ,275000.0,MORTGAGE
1775,education contractor,100000.0,MORTGAGE
1776,engineer,180000.0,MORTGAGE
1777,district manager ,90000.0,RENT
1778,program manager,97000.0,RENT
1779,shipping and receiving ,32760.0,MORTGAGE
1780,sourcing manager,90000.0,MORTGAGE
1781,brand ambassador/promotional model,33197.0,RENT
1782,sen network analyst,122000.0,MORTGAGE
1783,operations manager,35000.0,RENT
1784,security offier,40000.0,RENT
1785,manager ,55000.0,OWN
1786,letter carrier,72500.0,MORTGAGE
1787,manager,60000.0,RENT
1788,rn,75000.0,RENT
1789,manager,102000.0,MORTGAGE
1790,business system technician,70000.0,RENT
1791,director ,180000.0,MORTGAGE
1792,forklift operator,31942.63,RENT
1793,court officer,82000.0,MORTGAGE
1794,leasing professional,24000.0,RENT
1795,dealer,52000.0,OWN
1796,administrative assistant,38000.0,OWN
1797,and assist,50000.0,MORTGAGE
1798,registered nurse,62000.0,MORTGAGE
1799,technichian,60000.0,MORTGAGE
1800,nurse ,85000.0,MORTGAGE
1801,rn case manager,68000.0,MORTGAGE
1802,registered nurse ,64000.0,MORTGAGE
1803,teaching assistant,8000.0,MORTGAGE
1804,marine mechanic,65000.0,MORTGAGE
1805,field sales manager,56000.0,RENT
1806,teacher,65000.0,RENT
1807,clinical engineer,92000.0,RENT
1808,maintenance,40000.0,RENT
1809,csr,30000.0,RENT
1810,fulfillment associate,30000.0,RENT
1811,vp,135000.0,MORTGAGE
1812,saws,35000.0,RENT
1813,ditect support proffessional,85000.0,RENT
1815,category coordinator,33000.0,RENT
1816,rn,72000.0,MORTGAGE
1817,customer manager,78000.0,MORTGAGE
1818,college store coordinator,43000.0,MORTGAGE
1820,supervisor,68000.0,RENT
1821,care nurse ,67400.0,RENT
1822,claims adjuster,85000.0,MORTGAGE
1823,consultant,70000.0,RENT
1824,lead clerk,73000.0,RENT
1825,flight coordinator,62000.0,MORTGAGE
1826,systems administrator,58000.0,RENT
1827,machine operator,35360.0,RENT
1828,store manager,87000.0,MORTGAGE
1829,account manager,150000.0,MORTGAGE
1830,field supervision director insurance,92000.0,MORTGAGE
1831,vp of east coast operations ,200000.0,MORTGAGE
1832,process engineer,100000.0,MORTGAGE
1833,deputy clerk,65000.0,MORTGAGE
1834,enterprise support manager,166088.0,RENT
1835,case manager,49000.0,MORTGAGE
1836,financial reporting manager,100000.0,RENT
1837,deputy director,103000.0,MORTGAGE
1838,forklift operator,32000.0,MORTGAGE
1839,registered nurse,60000.0,RENT
1840,tech 3 ,95000.0,MORTGAGE
1841,mio specialist,54000.0,RENT
1842,senior billing specialist,37000.0,MORTGAGE
1843,supply management specialist,103000.0,OWN
1844,tso,46000.0,RENT
1846,bakery,30000.0,OWN
1847,sales,150000.0,MORTGAGE
1848,reservations agent ,30000.0,RENT
1849,driver / warehouse,92000.0,RENT
1850,police officer,130000.0,RENT
1851,foreman,74000.0,RENT
1852,conference coordinator,80400.0,MORTGAGE
1853,lead line service tech,40000.0,RENT
1854,weighmaster,50000.0,RENT
1855,receptionist,76000.0,RENT
1856,vision center sales,55000.0,RENT
1857,sales executive,100000.0,MORTGAGE
1858,it analyst ii,118000.0,MORTGAGE
1860,owner/agent,117000.0,MORTGAGE
1861,service delivery manager,113000.0,MORTGAGE
1862,director,320000.0,MORTGAGE
1863,registrar,51900.0,RENT
1864,private investigator ,85000.0,MORTGAGE
1865,operator,65000.0,MORTGAGE
1866,therapist,57000.0,RENT
1867,sales and leasing agent,120000.0,RENT
1868,registered nurse ,95000.0,RENT
1870,assistant professor,71000.0,RENT
1871,credit manager,80000.0,MORTGAGE
1872,mechanic,90000.0,MORTGAGE
1873,full time rn,120000.0,MORTGAGE
1874,supplier diversity ,68274.0,MORTGAGE
1875,office managetr ,72000.0,RENT
1876,safety manager,40000.0,RENT
1877,parts dept / buyer ,50000.0,MORTGAGE
1878,enterprise storage engineer ,142000.0,MORTGAGE
1879,delivery driver,50000.0,RENT
1880,consultant,54000.0,RENT
1881,executive assistant/ accts coord,35000.0,MORTGAGE
1884,director of purchasing ,100000.0,MORTGAGE
1885,yard master,92500.0,MORTGAGE
1886,mental health tech/ staff development,65000.0,RENT
1887,general manager,40000.0,RENT
1889,foreman ,75000.0,MORTGAGE
1890,access service librarian,64000.0,MORTGAGE
1891,maintenance engineer,62000.0,MORTGAGE
1892,front office ,40000.0,MORTGAGE
1893,pharmacist,175000.0,MORTGAGE
1894,pse,90000.0,RENT
1895,maintenance supervisor ,83000.0,RENT
1896,auto advisor supervisor,70000.0,MORTGAGE
1897,cook,32000.0,RENT
1898,"vp, technology",189000.0,MORTGAGE
1899,auditor,70000.0,MORTGAGE
1900,driver,35000.0,OWN
1901,reporter,47128.0,RENT
1902,branch operations,130500.0,MORTGAGE
1903,application consultant,60000.0,MORTGAGE
1904,nurse ,85000.0,MORTGAGE
1906,insurance agent,64000.0,MORTGAGE
1907,driver ,48000.0,RENT
1908,owner,116000.0,MORTGAGE
1909,office manager ,60000.0,RENT
1910,administrative,55000.0,RENT
1911,debt collector,60000.0,RENT
1912,teacher,44000.0,RENT
1913,teller,31304.0,MORTGAGE
1914,associate professor,173180.0,RENT
1915,warehouse associate,28000.0,MORTGAGE
1916,nurse,52600.0,MORTGAGE
1917,computer technician,87000.0,RENT
1918,mechanic,80000.0,MORTGAGE
1919,counselor,48000.0,MORTGAGE
1920,flight attendant,105000.0,RENT
1922,program manager,166000.0,MORTGAGE
1923,cna,30000.0,MORTGAGE
1924,western regional manager,180000.0,MORTGAGE
1925,owner,100000.0,RENT
1926,bilingual case manager ,95000.0,OWN
1927,attorney,90500.0,RENT
1929,finance manager,168000.0,RENT
1930,nursing assistant,43500.0,OWN
1931,design sales,70000.0,MORTGAGE
1932,administrative secretary ,69108.0,RENT
1933,auto body estimator,65000.0,MORTGAGE
1934,truck driver,72000.0,MORTGAGE
1935,owner,35000.0,RENT
1936,claims clerk,45000.0,RENT
1938,attorney,120000.0,MORTGAGE
1939,sales consultant,70000.0,RENT
1941,engineering project manager,105000.0,MORTGAGE
1942,staffing coordinator,56000.0,RENT
1943,registered nurse ,120000.0,OWN
1944,project manager ,85000.0,OWN
1946,office manager,49500.0,OWN
1947,owner,70000.0,MORTGAGE
1948,licensed lending officer,100000.0,RENT
1949,manager,38678.0,RENT
1950,modeler,25000.0,RENT
1951,automotive equipment mechanic,77000.0,RENT
1952,assist manager ,42000.0,RENT
1953,senior transportation surveyor,120000.0,MORTGAGE
1954,engineering specialist,133000.0,MORTGAGE
1955,erse 4,64934.0,RENT
1956,qa analyst,45000.0,MORTGAGE
1958,paralegal,52000.0,MORTGAGE
1959,store manager,22800.0,RENT
1960,analyst general,152000.0,MORTGAGE
1961,floor manager,37700.0,OWN
1962,payroll mgr,49300.0,OWN
1963,president,288000.0,MORTGAGE
1964,compliance consultant,65000.0,RENT
1965,district sales manager,90000.0,MORTGAGE
1967,soldier,72000.0,RENT
1968,service tech,54500.0,RENT
1969,medical record qa,36433.0,RENT
1971,office manager,20000.0,MORTGAGE
1972,lead medical secretary,70000.0,RENT
1973,project specialist,80000.0,OWN
1974,senior developer,130000.0,MORTGAGE
1975,customer service specialist,55000.0,RENT
1976,president,156000.0,MORTGAGE
1977,dental assistance/administration ,40000.0,MORTGAGE
1978,lab tech,90000.0,OWN
1979,register nurse,79000.0,MORTGAGE
1980,truck driver,59000.0,RENT
1981,administrator,50000.0,MORTGAGE
1982,checker,38000.0,RENT
1984,press operator ,54000.0,OWN
1985,it technical lead,112000.0,MORTGAGE
1986,president,85000.0,OWN
1988,family and community advocate ,49000.0,RENT
1989,supply chain specialist,68000.0,RENT
1990,analyst ,48000.0,RENT
1991,svp client management,289000.0,RENT
1992,program analyst,69860.0,RENT
1993,owner,60000.0,OWN
1994,h&s inspector,86000.0,RENT
1995,head baseball coach,75000.0,MORTGAGE
1996,hha ,30000.0,RENT
1997,foreman,105000.0,MORTGAGE
1998,cyber warfare,110000.0,MORTGAGE
1999,poker dealer,44000.0,OWN
2000,estimator,108000.0,MORTGAGE
2001,route sales rep,55000.0,MORTGAGE
2002,6th grade teacher,55000.0,RENT
2004,sous chef,55000.0,RENT
2005,management services director,76000.0,RENT
2006,dental hygienist,35000.0,RENT
2007,cocktail ,37540.0,OWN
2008,electrician,62628.0,MORTGAGE
2009,machine adjuster ,41000.0,OWN
2010,flight attendant,62000.0,RENT
2011,warehouse worker,10000.0,RENT
2012,felony collections officer,48000.0,RENT
2013,electrical engineer,108000.0,MORTGAGE
2014,sales,140000.0,MORTGAGE
2015,engineer,70000.0,RENT
2016,sales,55000.0,MORTGAGE
2017,vp,100000.0,MORTGAGE
2018,executive assistant/bookkeeper,90000.0,RENT
2020,accounting manager,150000.0,MORTGAGE
2021,patient transport,20000.0,OWN
2022,owner,50000.0,MORTGAGE
2023,manager ge,190000.0,MORTGAGE
2024,assembly ,72000.0,RENT
2025,registered nurse,50000.0,MORTGAGE
2026,registered nurse,75000.0,MORTGAGE
2027,vice president,100000.0,MORTGAGE
2028,rental consultant,60000.0,RENT
2030,live hanger,42000.0,OWN
2032,project engineer ,69000.0,RENT
2033,customer success manager,75000.0,MORTGAGE
2034,assistant district attorney ,156000.0,MORTGAGE
2035,wareworker,55000.0,MORTGAGE
2036,mechanic,128000.0,MORTGAGE
2037,manager,70000.0,MORTGAGE
2038,workers compensation ,66000.0,OWN
2039,plumber,110000.0,MORTGAGE
2041,home provider,47595.0,MORTGAGE
2042,technology team leader,106000.0,MORTGAGE
2043,senior systems architect,96800.0,MORTGAGE
2044,owner ,43000.0,RENT
2045,teacher,70000.0,MORTGAGE
2047,project associate,61400.0,RENT
2048,air traffic controller,90000.0,RENT
2049,accounts payable,50000.0,RENT
2050,patient safety companion,31000.0,RENT
2051,community development officer,78000.0,RENT
2052,project control,130000.0,MORTGAGE
2053,program coordinator ,122000.0,MORTGAGE
2054,management ,57000.0,OWN
2055,licensed nurse,82000.0,RENT
2056,relationship specialist,50000.0,MORTGAGE
2057,settlement officer ,74000.0,RENT
2058,registered nurse,48000.0,RENT
2059,owner,25000.0,RENT
2060,sr account executive,140000.0,MORTGAGE
2061,bc111,45000.0,MORTGAGE
2062,program coordinator,49000.0,RENT
2064,horticulture inspector ,40000.0,RENT
2065,purchasing supervisor,96000.0,MORTGAGE
2066,assistant financial controller,170000.0,MORTGAGE
2067,baggage handler,86000.0,MORTGAGE
2068,content review specialist,38000.0,RENT
2069,registered nurse,100000.0,RENT
2070,attorney,70000.0,RENT
2071,human resources ,46500.0,RENT
2072,truck driver,82000.0,MORTGAGE
2073,machine operator,81900.0,MORTGAGE
2074,assistant district attorney,62000.0,RENT
2075,delivery driver,83000.0,MORTGAGE
2076,detailer,35000.0,RENT
2077,sales manager,62000.0,MORTGAGE
2078,deputy,88000.0,MORTGAGE
2079,shop forman,85765.0,MORTGAGE
2080,carpenter,30000.0,MORTGAGE
2081,accounting clerk,65926.0,RENT
2082,salesman,120000.0,RENT
2084,personal banker,35000.0,RENT
2085,social worker,63500.0,RENT
2086,software product manager,101000.0,RENT
2087,driver,60000.0,RENT
2088,sgt,60000.0,RENT
2089,bus driver,21000.0,OWN
2090,surgical tech,60000.0,MORTGAGE
2091,custodian,80000.0,RENT
2092,facilities technician ,39000.0,OWN
2093,project engineer,76000.0,MORTGAGE
2094,superintendent ,200000.0,OWN
2095,chief petty officer,55000.0,RENT
2096,administrative specialist,57500.0,RENT
2097,plant manager ,160000.0,MORTGAGE
2098,crew,10800.0,RENT
2099,account manager,115000.0,MORTGAGE
2100,doorman ,85000.0,MORTGAGE
2101,renal social worker,58000.0,RENT
2102,owner/builder,55000.0,MORTGAGE
2103,owner ,100000.0,MORTGAGE
2104,rn,121000.0,RENT
2105,manager,22000.0,OWN
2107,coo,115000.0,MORTGAGE
2109,supervisor,79000.0,RENT
2110,operations manager,90000.0,MORTGAGE
2111,sales,75000.0,OWN
2112,security bike officer,31000.0,MORTGAGE
2113,teacher,172000.0,RENT
2114,pct ,49992.0,MORTGAGE
2115, lead hydraulic mechanic,40600.0,RENT
2116,music director,55000.0,MORTGAGE
2117,safety coordinator,150000.0,OWN
2118,software architect,280000.0,MORTGAGE
2119,landscaper ,55000.0,MORTGAGE
2120,radiology department,32000.0,MORTGAGE
2121,book keeper,15000.0,OWN
2122,law enforcement officer,101000.0,RENT
2123,foreman,70500.0,OWN
2124,medical assistant,45000.0,RENT
2125,lift truck operator,60000.0,RENT
2126,pharmacist,110000.0,MORTGAGE
2127,officer,117000.0,MORTGAGE
2128,project manager,50000.0,RENT
2129,senior cad drafter,52000.0,OWN
2130,marketing coordinator,48000.0,RENT
2131,custodian,25000.0,MORTGAGE
2132,barber,90000.0,MORTGAGE
2134,professor,92000.0,RENT
2135,assistant manager,74000.0,OWN
2136,rn,76000.0,MORTGAGE
2137,battery commander,102000.0,RENT
2138,assistant service manager,85000.0,RENT
2139,primary nurse case admin,70000.0,MORTGAGE
2140,"vice president, regulatory affairs ",250000.0,MORTGAGE
2141,secretary,35000.0,RENT
2142,general clerk,32000.0,MORTGAGE
2143,senior purchasing agent,56000.0,OWN
2144,quality inspection,70000.0,MORTGAGE
2145,resident physician,90000.0,RENT
2146,store manager,48000.0,RENT
2147,sales manager,100000.0,RENT
2148,sales consultant,60000.0,RENT
2149,manager,123000.0,MORTGAGE
2150,manager,50000.0,MORTGAGE
2152,studio manager,30000.0,RENT
2153,executive secretary,90000.0,MORTGAGE
2154,sr business control specialist ,65000.0,RENT
2155,private health aid,44200.0,RENT
2156,software developer,52000.0,RENT
2157,engineer,75000.0,MORTGAGE
2158,solution architect senior manager,192000.0,MORTGAGE
2159,manager,100000.0,MORTGAGE
2160,store manager,79300.0,MORTGAGE
2161,truck driver,55000.0,RENT
2162,owner,57000.0,MORTGAGE
2163,reporting analyst,63500.0,RENT
2164,record management specialist,35000.0,MORTGAGE
2165,ap coordinator,90000.0,RENT
2166,arborist,50000.0,MORTGAGE
2167,vet technician ,38400.0,RENT
2168,deputy probation officer iii,67000.0,MORTGAGE
2169,content manager,95000.0,OWN
2170,filling lead,50000.0,RENT
2171,forman,78000.0,MORTGAGE
2172,nail technician ,25000.0,RENT
2173,sales ,60000.0,RENT
2175,team lead,37500.0,RENT
2176,vice president,130000.0,MORTGAGE
2177,president,180000.0,MORTGAGE
2178,director,83000.0,OWN
2179,owner,100000.0,MORTGAGE
2180,server engineer,105000.0,MORTGAGE
2182,project manager,130000.0,MORTGAGE
2183,cut up,30000.0,MORTGAGE
2184,analyst,75000.0,RENT
2185,after school day care,4000.0,MORTGAGE
2186,manager,50000.0,RENT
2187,famil advocate,30000.0,RENT
2189,commercial  maintenance tech,60000.0,MORTGAGE
2190,administrative assistant,50000.0,MORTGAGE
2191,maternal child health specialist,72000.0,RENT
2192,administrator,105000.0,RENT
2193,creative services manager,90000.0,RENT
2194,assistant manager,40000.0,MORTGAGE
2195,data analyst,34000.0,RENT
2196,par professional mentor,96000.0,RENT
2197,sr it consultant,133000.0,MORTGAGE
2198,owner,40000.0,MORTGAGE
2199,assistant to the treasurer,152000.0,RENT
2200,certificated payroll professional,50000.0,OWN
2202,owner,58000.0,RENT
2203,library specialist,27000.0,OWN
2204,general contractor ,90000.0,RENT
2205,systems analyst,77000.0,MORTGAGE
2206,case manager,36000.0,RENT
2207,registered nurse,54000.0,OWN
2208,vice president of sales ,180000.0,MORTGAGE
2209,senior salesforce developer/architect,185000.0,RENT
2210,office manager,50000.0,RENT
2211,owner / operator,30000.0,MORTGAGE
2212,retail sales associate,40000.0,RENT
2213,administrative,51882.0,RENT
2214,loan officer,82000.0,MORTGAGE
2215,venue manager,48000.0,RENT
2216,teacher,48000.0,RENT
2217,tsr,60000.0,MORTGAGE
2218,cst certified surgical technician ,48769.0,RENT
2219,teacher,155555.0,MORTGAGE
2220,teacher,67000.0,MORTGAGE
2222,heart transplant coordinator,70000.0,MORTGAGE
2223,teacher,110000.0,MORTGAGE
2224,executive general manager,300000.0,MORTGAGE
2226,appliance technician,60000.0,MORTGAGE
2227,patrolman,72135.0,MORTGAGE
2228,administrative assistant,46000.0,RENT
2229,secretary,61584.0,RENT
2230,service operator 2,72000.0,RENT
2231,counselor,100000.0,MORTGAGE
2232,sr sales manager,300000.0,MORTGAGE
2233,supervisory it specialist,91000.0,MORTGAGE
2235,contracts manager,102900.0,RENT
2236,registered nurse,59789.0,RENT
2237,registered nurse,96000.0,RENT
2238,receptionist ,37000.0,RENT
2240,firefighter/paramedic,206000.0,MORTGAGE
2241,service analyst manager,65000.0,MORTGAGE
2242,senior accountant,65000.0,RENT
2243,mob technician,120000.0,OWN
2244,landscaper ,25000.0,OWN
2245,teacher,33000.0,MORTGAGE
2246,director of sales,140000.0,RENT
2247,road driver,85500.0,MORTGAGE
2248,machinist/engineer,65000.0,OWN
2249,office manager,37000.0,MORTGAGE
2250,driver,60000.0,RENT
2251,systems administrator,75000.0,MORTGAGE
2252,chef,108000.0,RENT
2253,registered nurse ,79000.0,MORTGAGE
2254,department maneger ,42000.0,MORTGAGE
2255,process engineer,75000.0,RENT
2256,controller,95000.0,MORTGAGE
2257,rn,65000.0,RENT
2258,cna,33186.0,OWN
2259,medical assistant,39000.0,MORTGAGE
2260,client service specialist,48000.0,RENT
2261,teacher,78000.0,RENT
2263,labor ,92000.0,RENT
2264,dna extraction techologist iii,42640.0,RENT
2265,teacher,89000.0,MORTGAGE
2266,claim services mgr,40000.0,RENT
2267,sales,418000.0,MORTGAGE
2268,welder,110000.0,MORTGAGE
2269,operations engineer,135000.0,OWN
2270,vp & counsel,281125.0,OWN
2271,certified registered nurse anesthetist ,175000.0,MORTGAGE
2272,registered nurse,60000.0,RENT
2273,srsystems analyst,81000.0,RENT
2274,logistic management specialist,97598.0,RENT
2275,eeg technologist,240000.0,MORTGAGE
2276,a/c service technician ,38000.0,OWN
2277,sr administrative assistant,80000.0,RENT
2278,sas consultant,130000.0,RENT
2279,application support analyst,50000.0,RENT
2280,contractor,70000.0,RENT
2282,director of operations,87120.0,MORTGAGE
2284,bookkeeper,45000.0,MORTGAGE
2285,manager,128500.0,MORTGAGE
2286,assistant manager,30000.0,RENT
2287,boss,105000.0,MORTGAGE
2288,construction worker,100000.0,RENT
2289,account manager,88000.0,MORTGAGE
2290,pressman,55000.0,RENT
2291,supervisor ,110000.0,MORTGAGE
2292,health and safety officer ,90000.0,RENT
2293,president / owner ,31972.0,MORTGAGE
2294,mortgage loan officer,26000.0,RENT
2295,office assistant,28000.0,MORTGAGE
2296,distribution mechanic,127000.0,MORTGAGE
2297,"sr director, risk management",175000.0,RENT
2298,payroll project analyst,91200.0,RENT
2299,fabrication manager ,60000.0,OWN
2300,product support specialist,43437.0,RENT
2301,sales ,68000.0,RENT
2302,housing specialist,54164.0,RENT
2303,systems engineer,68000.0,MORTGAGE
2304,"sr mgr, na maintenance & facility eng",101000.0,RENT
2306,operator,117000.0,MORTGAGE
2307,president,235000.0,RENT
2308,school counselor ,70000.0,RENT
2309,plant operator,40000.0,MORTGAGE
2310,trimer and detail,57000.0,MORTGAGE
2311,medical assistance administrator ,75000.0,MORTGAGE
2312,personal care assistant,36000.0,MORTGAGE
2313,sr manager,180000.0,MORTGAGE
2314,corprecruiter ,69351.0,MORTGAGE
2315,   maintenance,37000.0,RENT
2316,department lead,55500.0,MORTGAGE
2317,project control specialist,102000.0,MORTGAGE
2318,logistics,61000.0,MORTGAGE
2319,sales leader,316317.0,MORTGAGE
2320,office manager,44000.0,RENT
2321,front office,31000.0,MORTGAGE
2322,lvn,65000.0,MORTGAGE
2324,csa iii,49642.0,MORTGAGE
2325,gm,110000.0,MORTGAGE
2326,senior software engineer,125000.0,RENT
2327,manager,54000.0,OWN
2328,truck driver,75250.0,RENT
2329,immigration officer,115000.0,MORTGAGE
2330,mechanic,60000.0,RENT
2331,architect,85000.0,MORTGAGE
2332,manager,56000.0,RENT
2333,sales engineer specialist,75000.0,MORTGAGE
2334,owner/manager,68000.0,RENT
2335,psychometrician,35000.0,RENT
2336,registered nurse,63330.0,MORTGAGE
2337,director of property assets and finance,70000.0,RENT
2338,machinists ,50000.0,MORTGAGE
2339,warehouse,110000.0,MORTGAGE
2340,vacation replacement ,100000.0,MORTGAGE
2341,sales,100000.0,MORTGAGE
2342,nursing supervisor,140000.0,MORTGAGE
2343,mechanic ,94000.0,MORTGAGE
2344,regional sales manager,90000.0,MORTGAGE
2345,senior internal auditor ,76000.0,MORTGAGE
2346,processor,27000.0,MORTGAGE
2347,strategy consultant,155000.0,MORTGAGE
2348,pipefitter,90000.0,OWN
2350,degreed nutritionist ,45000.0,RENT
2351,collision technician ,57600.0,RENT
2352,admin,43000.0,MORTGAGE
2353,pbx operator ,35500.0,RENT
2354,store worker ,31200.0,MORTGAGE
2355,value stream leader,84000.0,MORTGAGE
2356,office mgr,67000.0,MORTGAGE
2358,manager,26271.0,RENT
2359,packer handler,70000.0,OWN
2360,sound and comm installer,60000.0,RENT
2361,processor,80000.0,MORTGAGE
2362,store manager,45000.0,MORTGAGE
2363,ma,35000.0,MORTGAGE
2364,medical records and medical billing,55000.0,RENT
2365,recruiter ,55000.0,OWN
2366,grants manager,72828.0,MORTGAGE
2367,mechanical engineer,53574.0,MORTGAGE
2368,production support,67600.0,MORTGAGE
2369,accounting,56000.0,MORTGAGE
2370,teacher,60000.0,RENT
2371,realtor,64874.0,MORTGAGE
2372,it support,45000.0,RENT
2373,special education secretary,51000.0,MORTGAGE
2374,regional manager,126000.0,OWN
2375,studio manager,72000.0,RENT
2376,bench tech,54996.0,MORTGAGE
2378,special forces medic,78000.0,RENT
2379,physician,225000.0,MORTGAGE
2380,it executive,198000.0,MORTGAGE
2381,counselor,142000.0,OWN
2382,teacher,85000.0,RENT
2383,crane operator,47840.0,OWN
2384,property manager ,35000.0,RENT
2385,office administrator ,130000.0,RENT
2386,manager - solutions architect,120000.0,OWN
2387,maitenance,50000.0,RENT
2388,truck driver,70000.0,MORTGAGE
2389,chef,52000.0,RENT
2390,er physician,299520.0,MORTGAGE
2391,technician,38000.0,MORTGAGE
2392,software consultant,93500.0,MORTGAGE
2393,hr ,96000.0,MORTGAGE
2394,general manager,120000.0,OWN
2395,account representative ,20000.0,RENT
2396,owner,75000.0,OWN
2397,owner/office manager,45000.0,OWN
2398,educator,100000.0,OWN
2399,owner,75000.0,RENT
